Animals;Small;Medium;Big;2 legs;4 legs;Hair;Hooves;Mane;Feather;Hunt;Run;Fly;Swin
Dove;1;0;0;1;0;0;0;0;1;0;0;1;0
Hen;1;0;0;1;0;0;0;0;1;0;0;0;0
Duck;1;0;0;1;0;0;0;0;1;0;0;0;1
Goose;1;0;0;1;0;0;0;0;1;0;0;1;1
Owl;1;0;0;1;0;0;0;0;1;1;0;1;0
Hawk;1;0;0;1;0;0;0;0;1;1;0;1;0
Eagle;0;1;0;1;0;0;0;0;1;1;0;1;0
Fox;0;1;0;0;1;1;0;0;0;1;0;0;0
Dog;0;1;0;0;1;1;0;0;0;0;1;0;0
Wolf;0;1;0;0;1;1;0;1;0;1;1;0;0
Cat;1;0;0;0;1;1;0;0;0;1;0;0;0
Tiger;0;0;1;0;1;1;0;0;0;1;1;0;0
Lion;0;0;1;0;1;1;0;1;0;1;1;0;0
Horse;0;0;1;0;1;1;1;1;0;0;1;0;0
Zebra;0;0;1;0;1;1;1;1;0;0;1;0;0
Cow;0;0;1;0;1;1;1;0;0;0;0;0;0
Monkey;1;0;0;1;0;1;0;0;0;1;1;0;0
Gorilla;0;0;1;1;0;1;0;0;0;1;1;0;0
