Identificador;Columna 1;Columna 2;Columna 3;Columna 4
Dato 5315;0;0;0;0
Dato 5316;0;0;0;0
Dato 5317;0;0;0;0
Dato 5318;0;0;0;0
Dato 5319;0;0;0;0
Dato 5320;0;0;0;0
Dato 5321;0;0;0;0
Dato 5322;154;33;144;1
Dato 5323;187;41;173;1
Dato 5324;213;46;198;1
Dato 5325;228;50;211;1
Dato 5326;233;52;213;1
Dato 5327;0;0;0;0
Dato 5537;0;0;0;0
Dato 5538;0;0;0;0
Dato 5539;0;0;0;0
Dato 5540;0;0;0;0
Dato 5541;176;35;170;1
Dato 5542;208;41;202;1
Dato 5543;227;44;221;1
Dato 5544;235;45;229;1
Dato 5545;227;44;221;1
Dato 5546;0;0;0;0
Dato 5547;0;0;0;0
Dato 5548;0;0;0;0
Dato 5549;0;0;0;0
Dato 5550;0;0;0;0
Dato 5551;0;0;0;0
Dato 5552;0;0;0;0
Dato 5553;0;0;0;0
Dato 5554;0;0;0;0
Dato 5555;0;0;0;0
Dato 5556;0;0;0;0
Dato 5557;0;0;0;0
Dato 5558;0;0;0;0
Dato 5559;0;0;0;0
Dato 5560;0;0;0;0
Dato 5561;0;0;0;0
Dato 5562;0;0;0;0
Dato 5563;0;0;0;0
Dato 5564;0;0;0;0
Dato 5565;0;0;0;0
Dato 5566;0;0;0;0
Dato 5567;0;0;0;0
Dato 5568;0;0;0;0
Dato 5569;0;0;0;0
Dato 5570;0;0;0;0
Dato 5571;0;0;0;0
Dato 5572;0;0;0;0
Dato 5573;0;0;0;0
Dato 5574;0;0;0;0
Dato 5575;0;0;0;0
Dato 5576;0;0;0;0
Dato 5577;0;0;0;0
Dato 5578;0;0;0;0
Dato 5579;0;0;0;0
Dato 5580;0;0;0;0
Dato 5581;0;0;0;0
Dato 5582;0;0;0;0
Dato 5583;0;0;0;0
Dato 5584;0;0;0;0
Dato 5585;0;0;0;0
Dato 5586;0;0;0;0
Dato 5587;0;0;0;0
Dato 5588;0;0;0;0
Dato 5589;0;0;0;0
Dato 5590;0;0;0;0
Dato 5591;0;0;0;0
Dato 5592;0;0;0;0
Dato 5593;0;0;0;0
Dato 5594;0;0;0;0
Dato 5595;0;0;0;0
Dato 5596;0;0;0;0
Dato 5597;0;0;0;0
Dato 5598;0;0;0;0
Dato 5599;0;0;0;0
Dato 5600;0;0;0;0
Dato 5601;0;0;0;0
Dato 5602;0;0;0;0
Dato 5603;0;0;0;0
Dato 5604;0;0;0;0
Dato 5605;0;0;0;0
Dato 5606;0;0;0;0
Dato 5607;0;0;0;0
Dato 5608;0;0;0;0
Dato 5609;0;0;0;0
Dato 5610;0;0;0;0
Dato 5611;0;0;0;0
Dato 5612;0;0;0;0
Dato 5613;0;0;0;0
Dato 5614;0;0;0;0
Dato 5615;0;0;0;0
Dato 5616;0;0;0;0
Dato 5617;0;0;0;0
Dato 5618;0;0;0;0
Dato 5619;0;0;0;0
Dato 5620;0;0;0;0
Dato 5621;0;0;0;0
Dato 5622;0;0;0;0
Dato 5623;0;0;0;0
Dato 5624;0;0;0;0
Dato 5625;0;0;0;0
Dato 5626;0;0;0;0
Dato 5627;0;0;0;0
Dato 5628;0;0;0;0
Dato 5629;0;0;0;0
Dato 5630;0;0;0;0
Dato 5631;0;0;0;0
Dato 5632;0;0;0;0
Dato 5633;0;0;0;0
