BMU;Dist
1;0.03
2;0.03
3;0.17
4;0.41
5;0.17
6;0.04
7;0.02
8;0.01
9;0.16
10;0.3
11;0.22
12;0.27
13;0.1
14;0.05
15;0.11
16;0.35
17;0.26
18;0.18
19;0.16
20;0.0
21;0.13
22;0.05
23;0.28
24;0.63
25;0.35
26;0.06
27;0.02
28;0.0
29;0.0
30;0.0
31;0.01
32;0.04
33;0.22
34;0.41
35;0.15
36;0.08
37;0.02
38;0.0
39;0.0
40;0.01
41;0.03
42;0.05
43;0.33
44;0.71
45;0.4
46;0.03
47;0.27
48;0.03
49;0.03
50;0.2
51;0.2
52;0.03
53;0.0
54;0.05
55;0.04
56;0.3
57;0.0
58;0.3
59;0.04
60;0.05
61;0.0
62;0.04
63;0.32
64;0.18
65;0.21
66;0.24
67;0.24
68;0.24
69;0.26
70;0.17
71;0.67
72;0.02
73;0.03
74;0.0
75;0.0
76;0.0
77;0.0
78;0.02
79;0.02
80;0.42
81;0.02
82;0.08
83;0.01
84;0.01
85;0.01
86;0.01
87;0.0
88;0.08
89;0.04
90;0.5
91;0.51
92;0.36
93;0.38
94;0.39
95;0.26
96;0.22
97;0.22
98;0.24
99;0.11
100;0.05
101;0.2
102;0.27
103;0.24
104;0.3
105;0.11
106;0.01
107;0.02
108;0.04
109;0.17
110;0.41
111;0.18
112;0.04
113;0.09
114;0.0
115;0.11
116;0.13
117;0.3
118;0.69
119;0.25
120;0.03
121;0.01
122;0.0
123;0.0
124;0.02
125;0.11
126;0.43
127;0.22
128;0.07
129;0.03
130;0.0
131;0.0
132;0.0
133;0.03
134;0.08
135;0.27
136;0.47
137;0.48
138;0.37
139;0.32
140;0.01
141;0.26
142;0.73
143;0.32
144;0.25
145;0.22
146;0.02
147;0.31
148;0.27
149;0.54
150;0.27
151;0.3
152;0.0
153;0.01
154;0.0
155;0.01
156;0.03
157;0.2
158;0.21
159;0.04
160;0.01
161;0.01
162;0.01
163;0.01
164;0.13
165;0.03
166;0.7
167;0.0
168;0.03
169;0.0
170;0.0
171;0.0
172;0.02
173;0.15
174;0.28
175;0.07
176;0.0
177;0.0
178;0.0
179;0.0
180;0.0
181;0.08
182;0.0
183;0.94
184;0.47
185;0.55
186;0.39
187;0.39
188;0.39
189;0.41
190;0.47
191;0.37
192;0.32
193;0.32
194;0.29
195;0.3
196;0.27
197;0.2
198;0.04
199;0.07
200;0.01
201;0.01
202;0.01
203;0.05
204;0.23
205;0.21
206;0.23
207;0.06
208;0.01
209;0.0
210;0.0
211;0.04
212;0.12
213;0.35
214;0.71
215;0.17
216;0.03
217;0.01
218;0.0
219;0.03
220;0.17
221;0.23
222;0.35
223;0.14
224;0.0
225;0.02
226;0.0
227;0.04
228;0.08
229;0.35
230;0.93
231;0.42
232;0.08
233;0.17
234;0.0
235;0.16
236;0.04
237;0.49
238;0.39
239;0.55
240;0.49
241;0.34
242;0.29
243;0.05
244;0.06
245;0.03
246;0.01
247;0.01
248;0.01
249;0.01
250;0.04
251;0.21
252;0.2
253;0.03
254;0.01
255;0.0
256;0.0
257;0.0
258;0.01
259;0.12
260;0.45
261;0.25
262;0.02
263;0.01
264;0.0
265;0.0
266;0.01
267;0.17
268;0.25
269;0.36
270;0.05
271;0.06
272;0.06
273;0.06
274;0.11
275;0.05
276;0.93
277;0.0
278;0.08
279;0.0
280;0.0
281;0.0
282;0.0
283;0.25
284;0.34
285;0.32
286;0.16
287;0.34
288;0.37
289;0.26
290;0.04
291;0.08
292;0.02
293;0.07
294;0.0
295;0.07
296;0.04
297;0.17
298;0.41
299;0.18
300;0.04
301;0.03
302;0.0
303;0.03
304;0.01
305;0.21
306;0.57
307;0.37
308;0.27
309;0.14
310;0.01
311;0.08
312;0.01
313;0.2
314;0.34
315;0.32
316;0.31
317;0.28
318;0.0
319;0.24
320;0.07
321;0.43
322;0.91
323;0.35
324;0.08
325;0.03
326;0.0
327;0.0
328;0.0
329;0.0
330;0.04
331;0.32
332;0.19
333;0.28
334;0.34
335;0.33
336;0.63
337;0.18
338;0.18
339;0.17
340;0.2
341;0.2
342;0.2
343;0.2
344;0.18
345;0.17
346;0.31
347;0.08
348;0.08
349;0.08
350;0.08
351;0.08
352;0.07
353;0.51
354;0.4
355;0.27
356;0.33
357;0.21
358;0.21
359;0.24
360;0.23
