BMU;Dist
1;0.04
2;0.03
3;0.19
4;0.34
5;0.32
6;0.38
7;0.13
8;0.05
9;0.01
10;0.01
11;0.05
12;0.18
13;0.14
14;0.18
15;0.11
16;0.01
17;0.15
18;0.25
19;0.18
20;0.19
21;0.1
22;0.03
23;0.17
24;0.53
25;0.45
26;0.51
27;0.28
28;0.06
29;0.02
30;0.0
31;0.0
32;0.0
33;0.02
34;0.06
35;0.2
36;0.34
37;0.2
38;0.02
39;0.13
40;0.02
41;0.25
42;0.54
43;0.3
44;0.09
45;0.05
46;0.0
47;0.01
48;0.04
49;0.05
50;0.34
51;0.15
52;0.42
53;0.05
54;0.05
55;0.0
56;0.0
57;0.01
58;0.01
59;0.18
60;0.02
61;0.18
62;0.08
63;0.08
64;0.26
65;0.02
66;0.25
67;0.08
68;0.08
69;0.06
70;0.06
71;0.58
72;0.18
73;0.5
74;0.05
75;0.0
76;0.0
77;0.0
78;0.0
79;0.0
80;0.04
81;0.03
82;0.36
83;0.2
84;0.24
85;0.25
86;0.25
87;0.25
88;0.2
89;0.54
90;0.04
91;0.08
92;0.01
93;0.01
94;0.01
95;0.19
96;0.36
97;0.33
98;0.37
99;0.15
100;0.0
101;0.01
102;0.0
103;0.0
104;0.01
105;0.1
106;0.17
107;0.21
108;0.15
109;0.24
110;0.2
111;0.21
112;0.24
113;0.1
114;0.01
115;0.03
116;0.01
117;0.21
118;0.55
119;0.42
120;0.54
121;0.19
122;0.0
123;0.02
124;0.0
125;0.02
126;0.04
127;0.15
128;0.38
129;0.18
130;0.05
131;0.09
132;0.0
133;0.1
134;0.06
135;0.25
136;0.56
137;0.25
138;0.07
139;0.11
140;0.0
141;0.1
142;0.24
143;0.24
144;0.44
145;0.32
146;0.06
147;0.0
148;0.0
149;0.0
150;0.0
151;0.01
152;0.01
153;0.24
154;0.28
155;0.45
156;0.47
157;0.45
158;0.28
159;0.24
160;0.01
161;0.01
162;0.0
163;0.0
164;0.01
165;0.08
166;0.49
167;0.25
168;0.5
169;0.05
170;0.06
171;0.06
172;0.06
173;0.04
174;0.0
175;0.39
176;0.03
177;0.06
178;0.01
179;0.01
180;0.01
181;0.01
182;0.07
183;0.04
184;0.54
185;0.22
186;0.28
187;0.28
188;0.28
189;0.17
190;0.02
191;0.34
192;0.71
193;0.38
194;0.06
195;0.09
196;0.0
197;0.02
198;0.01
199;0.1
200;0.24
201;0.21
202;0.2
203;0.24
204;0.15
205;0.21
206;0.17
207;0.1
208;0.01
209;0.0
210;0.0
211;0.03
212;0.09
213;0.37
214;0.61
215;0.46
216;0.46
217;0.31
218;0.0
219;0.19
220;0.05
221;0.18
222;0.39
223;0.18
224;0.04
225;0.02
226;0.0
227;0.0
228;0.0
229;0.03
230;0.08
231;0.28
232;0.48
233;0.25
234;0.02
235;0.23
236;0.24
237;0.24
238;0.35
239;0.77
240;0.36
241;0.41
242;0.06
243;0.06
244;0.07
245;0.06
246;0.25
247;0.02
248;0.26
249;0.08
250;0.08
251;0.18
252;0.02
253;0.18
254;0.01
255;0.01
256;0.0
257;0.0
258;0.08
259;0.0
260;0.95
261;0.44
262;0.48
263;0.63
264;0.63
265;0.63
266;0.33
267;0.37
268;0.2
269;0.19
270;0.03
271;0.0
272;0.0
273;0.0
274;0.0
275;0.0
276;0.05
277;0.05
278;0.48
279;0.23
280;0.28
281;0.28
282;0.28
283;0.16
284;0.23
285;0.36
286;0.44
287;0.38
288;0.35
289;0.31
290;0.04
291;0.24
292;0.23
293;0.2
294;0.25
295;0.1
296;0.01
297;0.08
298;0.17
299;0.12
300;0.17
301;0.07
302;0.01
303;0.03
304;0.08
305;0.34
306;0.95
307;0.42
308;0.08
309;0.22
310;0.0
311;0.28
312;0.31
313;0.37
314;0.35
315;0.37
316;0.23
317;0.15
318;0.0
319;0.04
320;0.0
321;0.03
322;0.05
323;0.19
324;0.51
325;0.23
326;0.06
327;0.11
328;0.0
329;0.1
330;0.04
331;0.05
332;0.2
333;0.2
334;0.4
335;0.34
336;0.69
337;0.64
338;0.64
339;0.41
340;0.19
341;0.25
342;0.0
343;0.01
344;0.01
345;0.0
346;0.18
347;0.0
348;0.17
349;0.02
350;0.03
351;0.08
352;0.0
353;0.95
354;0.0
355;0.08
356;0.06
357;0.06
358;0.06
359;0.05
360;0.37
361;0.48
362;0.7
363;0.53
364;0.51
365;0.11
366;0.11
367;0.11
368;0.11
369;0.05
370;0.0
371;0.51
372;0.04
373;0.07
374;0.01
375;0.01
376;0.01
377;0.04
378;0.03
379;0.18
380;0.39
381;0.18
382;0.07
383;0.21
384;0.06
385;0.38
386;0.76
387;0.38
388;0.09
389;0.07
390;0.01
391;0.01
392;0.01
393;0.06
394;0.17
395;0.11
396;0.15
397;0.16
398;0.08
399;0.42
400;0.95
401;0.34
402;0.08
403;0.04
404;0.0
405;0.02
406;0.0
407;0.14
408;0.33
409;0.36
410;0.24
411;0.36
412;0.4
413;0.32
414;0.0
415;0.23
416;0.09
417;0.25
418;0.51
419;0.23
420;0.05
421;0.03
422;0.0
423;0.01
424;0.03
425;0.0
426;0.39
427;0.0
428;0.03
429;0.06
430;0.06
431;0.12
432;0.05
433;0.8
434;0.03
435;0.07
436;0.01
437;0.0
438;0.0
439;0.01
440;0.02
441;0.15
442;0.03
443;0.15
444;0.54
445;0.47
446;0.95
447;0.0
448;0.08
449;0.0
450;0.0
451;0.0
452;0.0
453;0.0
454;0.07
455;0.26
456;0.15
457;0.26
458;0.23
459;0.64
460;0.64
461;0.64
462;0.41
463;0.49
464;0.38
465;0.21
466;0.05
467;0.03
